what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732981070
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294732983844
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1294732983845
error,log,,,"No message gotten.",1294732983891
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732983977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732992115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732999787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733004932
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1294733063218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733063249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733076579
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733109153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733130440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733132216
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294733137189
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1294733138824
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1294733139529
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1294733139535
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1294733139536
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.4.0,1.4.0.v201012021502,"com.google.appengine.eclipse.sdkbundle.1.4.0",1294733139538
stopped,bundle,com.google.gdt.eclipse.maven,1.4.2.v201012211742,"com.google.gdt.eclipse.maven",1294733139538
stopped,bundle,com.google.gdt.eclipse.suite,1.4.2.v201012211742,"com.google.gdt.eclipse.suite",1294733139538
stopped,bundle,com.google.appengine.eclipse.core,1.4.2.v201012211742,"com.google.appengine.eclipse.core",1294733139539
stopped,bundle,com.google.gwt.eclipse.oophm,1.4.2.v201012211742,"com.google.gwt.eclipse.oophm",1294733139539
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.1.1,2.1.1.v201012170127,"com.google.gwt.eclipse.sdkbundle.2.1.1",1294733139539
stopped,bundle,com.google.gwt.eclipse.core,1.4.2.v201012211742,"com.google.gwt.eclipse.core",1294733139626
stopped,bundle,com.google.gdt.eclipse.core,1.4.2.v201012211742,"com.google.gdt.eclipse.core",1294733139626
stopped,bundle,com.google.gdt.eclipse.platform,1.4.2.v201012211742,"com.google.gdt.eclipse.platform",1294733139626
stopped,bundle,com.google.gdt.eclipse.platform.e36,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.e36",1294733139627
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1294733139628
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1294733139629
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1294733139629
stopped,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1294733139629
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1294733139629
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1294733139630
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1294733139630
stopped,bundle,com.python.pydev.codecompletion,1.6.3.2010100513,"com.python.pydev.codecompletion",1294733139630
stopped,bundle,com.python.pydev.refactoring,1.6.3.2010100513,"com.python.pydev.refactoring",1294733139630
stopped,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1294733139631
stopped,bundle,com.python.pydev.debug,1.6.3.2010100513,"com.python.pydev.debug",1294733139631
stopped,bundle,com.python.pydev.fastparser,1.6.3.2010100513,"com.python.pydev.fastparser",1294733139631
stopped,bundle,com.python.pydev,1.6.3.2010100513,"com.python.pydev",1294733139631
stopped,bundle,org.python.pydev.django,1.6.3.2010100513,"org.python.pydev.django",1294733139632
stopped,bundle,org.python.pydev.customizations,1.6.3.2010100513,"org.python.pydev.customizations",1294733139633
stopped,bundle,org.python.pydev.debug,1.6.3.2010100513,"org.python.pydev.debug",1294733139653
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1294733139653
stopped,bundle,org.python.pydev.red_core,1.6.3.2010100513,"org.python.pydev.red_core",1294733139653
stopped,bundle,org.python.pydev.refactoring,1.6.3.2010100513,"org.python.pydev.refactoring",1294733139654
stopped,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1294733139658
stopped,bundle,com.google.gdt.eclipse.platform.shared,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.shared",1294733139659
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1294733139732
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1294733139733
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1294733139733
stopped,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1294733139734
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1294733139734
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1294733139735
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1294733139735
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1294733139784
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1294733139785
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1294733139786
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1294733139786
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1294733139787
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1294733139787
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1294733139788
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1294733139788
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1294733139789
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1294733139789
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1294733139790
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1294733139792
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1294733139845
stopped,bundle,org.eclipse.egit.ui,0.10.1,"org.eclipse.egit.ui",1294733139845
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1294733139902
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1294733139903
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1294733139904
stopped,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1294733140024
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1294733140024
stopped,bundle,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms",1294733140025
stopped,bundle,org.python.pydev.jython,1.6.3.2010100513,"org.python.pydev.jython",1294733140025
stopped,bundle,org.python.pydev.parser,1.6.3.2010100513,"org.python.pydev.parser",1294733140026
